cp	char	block	name	ink	clip	dup_of	recommended
U+0057	W	ASCII	LATIN CAPITAL LETTER W	0.2600	0.0015		1
U+0058	X	ASCII	LATIN CAPITAL LETTER X	0.1911	0.0000		1
U+0059	Y	ASCII	LATIN CAPITAL LETTER Y	0.1484	0.0000		1
U+005A	Z	ASCII	LATIN CAPITAL LETTER Z	0.1838	0.0000		1
U+005B	[	ASCII	LEFT SQUARE BRACKET	0.1303	0.0000		1
U+005C	\	ASCII	REVERSE SOLIDUS	0.1014	0.0000		1
U+005D	]	ASCII	RIGHT SQUARE BRACKET	0.1308	0.0000		1
U+005E	^	ASCII	CIRCUMFLEX ACCENT	0.0632	0.0000		1
U+005F	_	ASCII	LOW LINE	0.0588	0.0154		1
U+0060	`	ASCII	GRAVE ACCENT	0.0213	0.0000		1
U+0061	a	ASCII	LATIN SMALL LETTER A	0.1750	0.0000		1
U+0062	b	ASCII	LATIN SMALL LETTER B	0.2026	0.0000		1
U+0063	c	ASCII	LATIN SMALL LETTER C	0.1144	0.0000		1
U+0064	d	ASCII	LATIN SMALL LETTER D	0.2028	0.0000		1
U+0065	e	ASCII	LATIN SMALL LETTER E	0.1704	0.0000		1
U+0066	f	ASCII	LATIN SMALL LETTER F	0.1404	0.0000		1
U+0067	g	ASCII	LATIN SMALL LETTER G	0.2229	0.0000		1
U+0068	h	ASCII	LATIN SMALL LETTER H	0.1795	0.0000		1
U+0069	i	ASCII	LATIN SMALL LETTER I	0.1296	0.0000		1
U+006A	j	ASCII	LATIN SMALL LETTER J	0.1375	0.0000		1
U+006B	k	ASCII	LATIN SMALL LETTER K	0.1834	0.0000		1
U+006C	l	ASCII	LATIN SMALL LETTER L	0.1216	0.0000		1
U+006D	m	ASCII	LATIN SMALL LETTER M	0.2032	0.0000		1
U+006E	n	ASCII	LATIN SMALL LETTER N	0.1528	0.0000		1
U+006F	o	ASCII	LATIN SMALL LETTER O	0.1610	0.0000		1
U+0070	p	ASCII	LATIN SMALL LETTER P	0.2032	0.0000		1
U+0071	q	ASCII	LATIN SMALL LETTER Q	0.2033	0.0000		1
U+0072	r	ASCII	LATIN SMALL LETTER R	0.0988	0.0000		1
U+0073	s	ASCII	LATIN SMALL LETTER S	0.1363	0.0000		1
U+0074	t	ASCII	LATIN SMALL LETTER T	0.1355	0.0000		1
U+0075	u	ASCII	LATIN SMALL LETTER U	0.1529	0.0000		1
U+0076	v	ASCII	LATIN SMALL LETTER V	0.1317	0.0000		1
U+0077	w	ASCII	LATIN SMALL LETTER W	0.1815	0.0013		1
U+0078	x	ASCII	LATIN SMALL LETTER X	0.1397	0.0000		1
U+0079	y	ASCII	LATIN SMALL LETTER Y	0.1676	0.0000		1
U+007A	z	ASCII	LATIN SMALL LETTER Z	0.1359	0.0000		1
U+007B	{	ASCII	LEFT CURLY BRACKET	0.1458	0.0000		1
U+007C	|	ASCII	VERTICAL LINE	0.1125	0.0000		1
U+007D	}	ASCII	RIGHT CURLY BRACKET	0.1445	0.0000		1
U+007E	~	ASCII	TILDE	0.0524	0.0000		1
U+00A1	¡	Latin-1	INVERTED EXCLAMATION MARK	0.0815	0.0000		1
U+00A2	¢	Latin-1	CENT SIGN	0.1603	0.0000		1
U+00A3	£	Latin-1	POUND SIGN	0.1800	0.0000		1
U+00A4	¤	Latin-1	CURRENCY SIGN	0.1071	0.0000		1
U+00A5	¥	Latin-1	YEN SIGN	0.2093	0.0000		1
U+00A6	¦	Latin-1	BROKEN BAR	0.0833	0.0000		1
U+00A7	§	Latin-1	SECTION SIGN	0.1981	0.0000		1
U+00A8	¨	Latin-1	DIAERESIS	0.0294	0.0000		1
U+00A9	©	Latin-1	COPYRIGHT SIGN	0.1471	0.0071		1
U+00AA	ª	Latin-1	FEMININE ORDINAL INDICATOR	0.1038	0.0000		1
U+00AB	«	Latin-1	LEFT-POINTING DOUBLE ANGLE QUOTATION MARK	0.0976	0.0000		1
U+00AC	¬	Latin-1	NOT SIGN	0.0676	0.0000		1
U+00AE	®	Latin-1	REGISTERED SIGN	0.1730	0.0060		1
U+00AF	¯	Latin-1	MACRON	0.0290	0.0000		1
U+00B0	°	Latin-1	DEGREE SIGN	0.0684	0.0000		1
U+00B1	±	Latin-1	PLUS-MINUS SIGN	0.1352	0.0000		1
U+00B2	²	Latin-1	SUPERSCRIPT TWO	0.0597	0.0000		1
U+00B3	³	Latin-1	SUPERSCRIPT THREE	0.0602	0.0000		1
U+00B4	´	Latin-1	ACUTE ACCENT	0.0213	0.0000		1
U+00B5	µ	Latin-1	MICRO SIGN	0.1875	0.0000		1
U+00B6	¶	Latin-1	PILCROW SIGN	0.2620	0.0000		1
U+00B7	·	Latin-1	MIDDLE DOT	0.0244	0.0000		1
U+00B8	¸	Latin-1	CEDILLA	0.0268	0.0000		1
U+00B9	¹	Latin-1	SUPERSCRIPT ONE	0.0538	0.0000		1
U+00BA	º	Latin-1	MASCULINE ORDINAL INDICATOR	0.1000	0.0000		1
U+00BB	»	Latin-1	RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK	0.0975	0.0000		1
U+00BC	¼	Latin-1	VULGAR FRACTION ONE QUARTER	0.1530	0.0000		1
U+00BD	½	Latin-1	VULGAR FRACTION ONE HALF	0.1412	0.0000		1
U+00BE	¾	Latin-1	VULGAR FRACTION THREE QUARTERS	0.1592	0.0000		1
U+00BF	¿	Latin-1	INVERTED QUESTION MARK	0.1185	0.0000		1
U+00C0	À	Latin-1	LATIN CAPITAL LETTER A WITH GRAVE	0.2218	0.0000		1
U+00C1	Á	Latin-1	LATIN CAPITAL LETTER A WITH ACUTE	0.2218	0.0000		1
U+00C2	Â	Latin-1	LATIN CAPITAL LETTER A WITH CIRCUMFLEX	0.2317	0.0247		1
U+00C3	Ã	Latin-1	LATIN CAPITAL LETTER A WITH TILDE	0.2431	0.0000		1
U+00C4	Ä	Latin-1	LATIN CAPITAL LETTER A WITH DIAERESIS	0.2389	0.0000		1
U+00C5	Å	Latin-1	LATIN CAPITAL LETTER A WITH RING ABOVE	0.2530	0.0000		1
U+00C6	Æ	Latin-1	LATIN CAPITAL LETTER AE	0.2441	0.0000		1
U+00C7	Ç	Latin-1	LATIN CAPITAL LETTER C WITH CEDILLA	0.1760	0.0000		1
U+00C8	È	Latin-1	LATIN CAPITAL LETTER E WITH GRAVE	0.2095	0.0000		1
U+00C9	É	Latin-1	LATIN CAPITAL LETTER E WITH ACUTE	0.2096	0.0000		1
U+00CA	Ê	Latin-1	LATIN CAPITAL LETTER E WITH CIRCUMFLEX	0.2194	0.0260		1
U+00CB	Ë	Latin-1	LATIN CAPITAL LETTER E WITH DIAERESIS	0.2266	0.0000		1
U+00CC	Ì	Latin-1	LATIN CAPITAL LETTER I WITH GRAVE	0.1713	0.0000		1
U+00CD	Í	Latin-1	LATIN CAPITAL LETTER I WITH ACUTE	0.1714	0.0000		1
U+00CE	Î	Latin-1	LATIN CAPITAL LETTER I WITH CIRCUMFLEX	0.1812	0.0314		1
U+00CF	Ï	Latin-1	LATIN CAPITAL LETTER I WITH DIAERESIS	0.1884	0.0000		1
U+00D0	Ð	Latin-1	LATIN CAPITAL LETTER ETH	0.2463	0.0000		1
U+00D1	Ñ	Latin-1	LATIN CAPITAL LETTER N WITH TILDE	0.2955	0.0000		1
U+00D2	Ò	Latin-1	LATIN CAPITAL LETTER O WITH GRAVE	0.2256	0.0000		1
U+00D3	Ó	Latin-1	LATIN CAPITAL LETTER O WITH ACUTE	0.2257	0.0000		1
U+00D4	Ô	Latin-1	LATIN CAPITAL LETTER O WITH CIRCUMFLEX	0.2355	0.0243		1
U+00D5	Õ	Latin-1	LATIN CAPITAL LETTER O WITH TILDE	0.2469	0.0000		1
U+00D6	Ö	Latin-1	LATIN CAPITAL LETTER O WITH DIAERESIS	0.2428	0.0000		1
U+00D7	×	Latin-1	MULTIPLICATION SIGN	0.1102	0.0000		1
U+00D8	Ø	Latin-1	LATIN CAPITAL LETTER O WITH STROKE	0.2698	0.0000		1
U+00D9	Ù	Latin-1	LATIN CAPITAL LETTER U WITH GRAVE	0.2164	0.0000		1
U+00DA	Ú	Latin-1	LATIN CAPITAL LETTER U WITH ACUTE	0.2165	0.0000		1
U+00DB	Û	Latin-1	LATIN CAPITAL LETTER U WITH CIRCUMFLEX	0.2263	0.0253		1
U+00DC	Ü	Latin-1	LATIN CAPITAL LETTER U WITH DIAERESIS	0.2335	0.0000		1
U+00DD	Ý	Latin-1	LATIN CAPITAL LETTER Y WITH ACUTE	0.1608	0.0000		1
U+00DE	Þ	Latin-1	LATIN CAPITAL LETTER THORN	0.1944	0.0000		1
U+00DF	ß	Latin-1	LATIN SMALL LETTER SHARP S	0.2297	0.0000		1
U+00E0	à	Latin-1	LATIN SMALL LETTER A WITH GRAVE	0.1963	0.0000		1
U+00E1	á	Latin-1	LATIN SMALL LETTER A WITH ACUTE	0.1963	0.0000		1
U+00E2	â	Latin-1	LATIN SMALL LETTER A WITH CIRCUMFLEX	0.2082	0.0000		1
U+00E3	ã	Latin-1	LATIN SMALL LETTER A WITH TILDE	0.2131	0.0000		1
U+00E4	ä	Latin-1	LATIN SMALL LETTER A WITH DIAERESIS	0.2044	0.0000		1
U+00E5	å	Latin-1	LATIN SMALL LETTER A WITH RING ABOVE	0.2311	0.0000		1
U+00E6	æ	Latin-1	LATIN SMALL LETTER AE	0.2184	0.0000		1
U+00E7	ç	Latin-1	LATIN SMALL LETTER C WITH CEDILLA	0.1413	0.0000		1
U+00E8	è	Latin-1	LATIN SMALL LETTER E WITH GRAVE	0.1917	0.0000		1
U+00E9	é	Latin-1	LATIN SMALL LETTER E WITH ACUTE	0.1917	0.0000		1
U+00EA	ê	Latin-1	LATIN SMALL LETTER E WITH CIRCUMFLEX	0.2037	0.0000		1
U+00EB	ë	Latin-1	LATIN SMALL LETTER E WITH DIAERESIS	0.1998	0.0000		1
U+00EC	ì	Latin-1	LATIN SMALL LETTER I WITH GRAVE	0.1376	0.0000		1
U+00ED	í	Latin-1	LATIN SMALL LETTER I WITH ACUTE	0.1376	0.0000		1
U+00EE	î	Latin-1	LATIN SMALL LETTER I WITH CIRCUMFLEX	0.1495	0.0000		1
U+00EF	ï	Latin-1	LATIN SMALL LETTER I WITH DIAERESIS	0.1456	0.0000		1
U+00F0	ð	Latin-1	LATIN SMALL LETTER ETH	0.2160	0.0000		1
U+00F1	ñ	Latin-1	LATIN SMALL LETTER N WITH TILDE	0.1909	0.0000		1
U+00F2	ò	Latin-1	LATIN SMALL LETTER O WITH GRAVE	0.1824	0.0000		1
U+00F3	ó	Latin-1	LATIN SMALL LETTER O WITH ACUTE	0.1823	0.0000		1
U+00F4	ô	Latin-1	LATIN SMALL LETTER O WITH CIRCUMFLEX	0.1943	0.0000		1
U+00F5	õ	Latin-1	LATIN SMALL LETTER O WITH TILDE	0.1991	0.0000		1
U+00F6	ö	Latin-1	LATIN SMALL LETTER O WITH DIAERESIS	0.1904	0.0000		1
U+00F7	÷	Latin-1	DIVISION SIGN	0.0870	0.0000		1
U+00F8	ø	Latin-1	LATIN SMALL LETTER O WITH STROKE	0.2063	0.0000		1
U+00F9	ù	Latin-1	LATIN SMALL LETTER U WITH GRAVE	0.1742	0.0000		1
U+00FA	ú	Latin-1	LATIN SMALL LETTER U WITH ACUTE	0.1742	0.0000		1
U+00FB	û	Latin-1	LATIN SMALL LETTER U WITH CIRCUMFLEX	0.1862	0.0000		1
U+00FC	ü	Latin-1	LATIN SMALL LETTER U WITH DIAERESIS	0.1823	0.0000		1
U+00FD	ý	Latin-1	LATIN SMALL LETTER Y WITH ACUTE	0.1890	0.0000		1
U+00FE	þ	Latin-1	LATIN SMALL LETTER THORN	0.2301	0.0000		1
U+00FF	ÿ	Latin-1	LATIN SMALL LETTER Y WITH DIAERESIS	0.1971	0.0000		1
U+0100	Ā	Latin Ext-A	LATIN CAPITAL LETTER A WITH MACRON	0.2385	0.0000		0
U+0101	ā	Latin Ext-A	LATIN SMALL LETTER A WITH MACRON	0.2040	0.0000		0
U+0102	Ă	Latin Ext-A	LATIN CAPITAL LETTER A WITH BREVE	0.2382	0.0000		0
U+0103	ă	Latin Ext-A	LATIN SMALL LETTER A WITH BREVE	0.2083	0.0000		0
U+0104	Ą	Latin Ext-A	LATIN CAPITAL LETTER A WITH OGONEK	0.2331	0.0061		0
U+0105	ą	Latin Ext-A	LATIN SMALL LETTER A WITH OGONEK	0.2001	0.0000		0
U+0106	Ć	Latin Ext-A	LATIN CAPITAL LETTER C WITH ACUTE	0.1615	0.0000		0
U+0107	ć	Latin Ext-A	LATIN SMALL LETTER C WITH ACUTE	0.1358	0.0000		0
U+0108	Ĉ	Latin Ext-A	LATIN CAPITAL LETTER C WITH CIRCUMFLEX	0.1714	0.0331		0
U+0109	ĉ	Latin Ext-A	LATIN SMALL LETTER C WITH CIRCUMFLEX	0.1477	0.0000		0
U+010A	Ċ	Latin Ext-A	LATIN CAPITAL LETTER C WITH DOT ABOVE	0.1641	0.0000		0
U+010B	ċ	Latin Ext-A	LATIN SMALL LETTER C WITH DOT ABOVE	0.1294	0.0000		0
U+010C	Č	Latin Ext-A	LATIN CAPITAL LETTER C WITH CARON	0.1703	0.0396		0
U+010D	č	Latin Ext-A	LATIN SMALL LETTER C WITH CARON	0.1477	0.0000		0
U+010E	Ď	Latin Ext-A	LATIN CAPITAL LETTER D WITH CARON	0.2480	0.0275		0
U+010F	ď	Latin Ext-A	LATIN SMALL LETTER D WITH CARON	0.2190	0.0232		0
U+0110	Đ	Latin Ext-A	LATIN CAPITAL LETTER D WITH STROKE	0.2463	0.0000	U+00D0	0
U+0111	đ	Latin Ext-A	LATIN SMALL LETTER D WITH STROKE	0.2259	0.0041		0
U+0112	Ē	Latin Ext-A	LATIN CAPITAL LETTER E WITH MACRON	0.2262	0.0000		0
U+0113	ē	Latin Ext-A	LATIN SMALL LETTER E WITH MACRON	0.1994	0.0000		0
U+0114	Ĕ	Latin Ext-A	LATIN CAPITAL LETTER E WITH BREVE	0.2259	0.0000		0
U+0115	ĕ	Latin Ext-A	LATIN SMALL LETTER E WITH BREVE	0.2037	0.0000		0
U+0116	Ė	Latin Ext-A	LATIN CAPITAL LETTER E WITH DOT ABOVE	0.2121	0.0000		0
U+0117	ė	Latin Ext-A	LATIN SMALL LETTER E WITH DOT ABOVE	0.1853	0.0000		0
U+0118	Ę	Latin Ext-A	LATIN CAPITAL LETTER E WITH OGONEK	0.2223	0.0000		0
U+0119	ę	Latin Ext-A	LATIN SMALL LETTER E WITH OGONEK	0.1955	0.0000		0
U+011A	Ě	Latin Ext-A	LATIN CAPITAL LETTER E WITH CARON	0.2183	0.0311		0
U+011B	ě	Latin Ext-A	LATIN SMALL LETTER E WITH CARON	0.2036	0.0000		0
U+011C	Ĝ	Latin Ext-A	LATIN CAPITAL LETTER G WITH CIRCUMFLEX	0.2164	0.0264		0
U+011D	ĝ	Latin Ext-A	LATIN SMALL LETTER G WITH CIRCUMFLEX	0.2562	0.0000		0
U+011E	Ğ	Latin Ext-A	LATIN CAPITAL LETTER G WITH BREVE	0.2229	0.0000		0
U+011F	ğ	Latin Ext-A	LATIN SMALL LETTER G WITH BREVE	0.2563	0.0000		0
U+0120	Ġ	Latin Ext-A	LATIN CAPITAL LETTER G WITH DOT ABOVE	0.2091	0.0000		0
U+0121	ġ	Latin Ext-A	LATIN SMALL LETTER G WITH DOT ABOVE	0.2378	0.0000		0
U+0122	Ģ	Latin Ext-A	LATIN CAPITAL LETTER G WITH CEDILLA	0.2175	0.0000		0
U+0123	ģ	Latin Ext-A	LATIN SMALL LETTER G WITH CEDILLA	0.2441	0.0000		0
U+0124	Ĥ	Latin Ext-A	LATIN CAPITAL LETTER H WITH CIRCUMFLEX	0.2462	0.0233		0
U+0125	ĥ	Latin Ext-A	LATIN SMALL LETTER H WITH CIRCUMFLEX	0.2018	0.0283		0
U+0126	Ħ	Latin Ext-A	LATIN CAPITAL LETTER H WITH STROKE	0.2620	0.0031		0
U+0127	ħ	Latin Ext-A	LATIN SMALL LETTER H WITH STROKE	0.2029	0.0000		0
U+0128	Ĩ	Latin Ext-A	LATIN CAPITAL LETTER I WITH TILDE	0.1926	0.0000		0
U+0129	ĩ	Latin Ext-A	LATIN SMALL LETTER I WITH TILDE	0.1543	0.0000		0
U+012A	Ī	Latin Ext-A	LATIN CAPITAL LETTER I WITH MACRON	0.1880	0.0000		0
U+012B	ī	Latin Ext-A	LATIN SMALL LETTER I WITH MACRON	0.1452	0.0000		0
U+012C	Ĭ	Latin Ext-A	LATIN CAPITAL LETTER I WITH BREVE	0.1877	0.0000		0
U+012D	ĭ	Latin Ext-A	LATIN SMALL LETTER I WITH BREVE	0.1496	0.0000		0
U+012E	Į	Latin Ext-A	LATIN CAPITAL LETTER I WITH OGONEK	0.1841	0.0000		0
U+012F	į	Latin Ext-A	LATIN SMALL LETTER I WITH OGONEK	0.1547	0.0000		0
U+0130	İ	Latin Ext-A	LATIN CAPITAL LETTER I WITH DOT ABOVE	0.1739	0.0000		0
U+0131	ı	Latin Ext-A	LATIN SMALL LETTER DOTLESS I	0.1162	0.0000		0
U+0132	Ĳ	Latin Ext-A	LATIN CAPITAL LIGATURE IJ	0.2084	0.0247		0
U+0133	ĳ	Latin Ext-A	LATIN SMALL LIGATURE IJ	0.2428	0.0007		0
U+0134	Ĵ	Latin Ext-A	LATIN CAPITAL LETTER J WITH CIRCUMFLEX	0.1661	0.0342		0
U+0135	ĵ	Latin Ext-A	LATIN SMALL LETTER J WITH CIRCUMFLEX	0.1573	0.0000		0
U+0136	Ķ	Latin Ext-A	LATIN CAPITAL LETTER K WITH CEDILLA	0.2436	0.0001		0
U+0137	ķ	Latin Ext-A	LATIN SMALL LETTER K WITH CEDILLA	0.2067	0.0000		0
U+0138	ĸ	Latin Ext-A	LATIN SMALL LETTER KRA	0.1557	0.0000		0
U+0139	Ĺ	Latin Ext-A	LATIN CAPITAL LETTER L WITH ACUTE	0.1462	0.0000		0
U+013A	ĺ	Latin Ext-A	LATIN SMALL LETTER L WITH ACUTE	0.1339	0.0000		0
U+013B	Ļ	Latin Ext-A	LATIN CAPITAL LETTER L WITH CEDILLA	0.1572	0.0000		0
U+013C	ļ	Latin Ext-A	LATIN SMALL LETTER L WITH CEDILLA	0.1449	0.0000		0
U+013D	Ľ	Latin Ext-A	LATIN CAPITAL LETTER L WITH CARON	0.1552	0.0000		0
U+013E	ľ	Latin Ext-A	LATIN SMALL LETTER L WITH CARON	0.1429	0.0000		0
U+013F	Ŀ	Latin Ext-A	LATIN CAPITAL LETTER L WITH MIDDLE DOT	0.1582	0.0000		0
U+0140	ŀ	Latin Ext-A	LATIN SMALL LETTER L WITH MIDDLE DOT	0.1460	0.0000		0
U+0141	Ł	Latin Ext-A	LATIN CAPITAL LETTER L WITH STROKE	0.1631	0.0002		0
U+0142	ł	Latin Ext-A	LATIN SMALL LETTER L WITH STROKE	0.1590	0.0000		0
U+0143	Ń	Latin Ext-A	LATIN CAPITAL LETTER N WITH ACUTE	0.2743	0.0000		0
U+0144	ń	Latin Ext-A	LATIN SMALL LETTER N WITH ACUTE	0.1741	0.0000		0
U+0145	Ņ	Latin Ext-A	LATIN CAPITAL LETTER N WITH CEDILLA	0.2853	0.0000		0
U+0146	ņ	Latin Ext-A	LATIN SMALL LETTER N WITH CEDILLA	0.1762	0.0000		0
U+0147	Ň	Latin Ext-A	LATIN CAPITAL LETTER N WITH CARON	0.2830	0.0242		0
U+0148	ň	Latin Ext-A	LATIN SMALL LETTER N WITH CARON	0.1861	0.0000		0
U+0149	ŉ	Latin Ext-A	LATIN SMALL LETTER N PRECEDED BY APOSTROPHE	0.1956	0.0000		0
U+014A	Ŋ	Latin Ext-A	LATIN CAPITAL LETTER ENG	0.2566	0.0000		0
U+014B	ŋ	Latin Ext-A	LATIN SMALL LETTER ENG	0.1917	0.0000		0
U+014C	Ō	Latin Ext-A	LATIN CAPITAL LETTER O WITH MACRON	0.2423	0.0000		0
U+014D	ō	Latin Ext-A	LATIN SMALL LETTER O WITH MACRON	0.1900	0.0000		0
U+014E	Ŏ	Latin Ext-A	LATIN CAPITAL LETTER O WITH BREVE	0.2420	0.0000		0
U+014F	ŏ	Latin Ext-A	LATIN SMALL LETTER O WITH BREVE	0.1944	0.0000		0
U+0150	Ő	Latin Ext-A	LATIN CAPITAL LETTER O WITH DOUBLE ACUTE	0.2381	0.0000		0
U+0151	ő	Latin Ext-A	LATIN SMALL LETTER O WITH DOUBLE ACUTE	0.1987	0.0000		0
U+0152	Œ	Latin Ext-A	LATIN CAPITAL LIGATURE OE	0.2590	0.0007		0
U+0153	œ	Latin Ext-A	LATIN SMALL LIGATURE OE	0.2241	0.0000		0
U+0154	Ŕ	Latin Ext-A	LATIN CAPITAL LETTER R WITH ACUTE	0.2475	0.0005		0
U+0155	ŕ	Latin Ext-A	LATIN SMALL LETTER R WITH ACUTE	0.1201	0.0000		0
U+0156	Ŗ	Latin Ext-A	LATIN CAPITAL LETTER R WITH CEDILLA	0.2585	0.0005		0
U+0157	ŗ	Latin Ext-A	LATIN SMALL LETTER R WITH CEDILLA	0.1221	0.0000		0
U+0158	Ř	Latin Ext-A	LATIN CAPITAL LETTER R WITH CARON	0.2562	0.0271		0
U+0159	ř	Latin Ext-A	LATIN SMALL LETTER R WITH CARON	0.1320	0.0000		0
U+015A	Ś	Latin Ext-A	LATIN CAPITAL LETTER S WITH ACUTE	0.1936	0.0000		0
U+015B	ś	Latin Ext-A	LATIN SMALL LETTER S WITH ACUTE	0.1576	0.0000		0
U+015C	Ŝ	Latin Ext-A	LATIN CAPITAL LETTER S WITH CIRCUMFLEX	0.2034	0.0281		0
U+015D	ŝ	Latin Ext-A	LATIN SMALL LETTER S WITH CIRCUMFLEX	0.1695	0.0000		0
U+015E	Ş	Latin Ext-A	LATIN CAPITAL LETTER S WITH CEDILLA	0.2080	0.0000		0
U+015F	ş	Latin Ext-A	LATIN SMALL LETTER S WITH CEDILLA	0.1631	0.0000		0
U+0160	Š	Latin Ext-A	LATIN CAPITAL LETTER S WITH CARON	0.2023	0.0335		0
U+0161	š	Latin Ext-A	LATIN SMALL LETTER S WITH CARON	0.1695	0.0000		0
U+0162	Ţ	Latin Ext-A	LATIN CAPITAL LETTER T WITH CEDILLA	0.1710	0.0000		0
U+0163	ţ	Latin Ext-A	LATIN SMALL LETTER T WITH CEDILLA	0.1622	0.0000		0
U+0164	Ť	Latin Ext-A	LATIN CAPITAL LETTER T WITH CARON	0.1653	0.0407		0
U+0165	ť	Latin Ext-A	LATIN SMALL LETTER T WITH CARON	0.1568	0.0000		0
U+0166	Ŧ	Latin Ext-A	LATIN CAPITAL LETTER T WITH STROKE	0.1699	0.0000		0
U+0167	ŧ	Latin Ext-A	LATIN SMALL LETTER T WITH STROKE	0.1576	0.0000		0
U+0168	Ũ	Latin Ext-A	LATIN CAPITAL LETTER U WITH TILDE	0.2377	0.0000		0
U+0169	ũ	Latin Ext-A	LATIN SMALL LETTER U WITH TILDE	0.1910	0.0000		0
U+016A	Ū	Latin Ext-A	LATIN CAPITAL LETTER U WITH MACRON	0.2331	0.0000		0
U+016B	ū	Latin Ext-A	LATIN SMALL LETTER U WITH MACRON	0.1819	0.0000		0
U+016C	Ŭ	Latin Ext-A	LATIN CAPITAL LETTER U WITH BREVE	0.2328	0.0000		0
U+016D	ŭ	Latin Ext-A	LATIN SMALL LETTER U WITH BREVE	0.1863	0.0000		0
U+016E	Ů	Latin Ext-A	LATIN CAPITAL LETTER U WITH RING ABOVE	0.2601	0.0000		0
U+016F	ů	Latin Ext-A	LATIN SMALL LETTER U WITH RING ABOVE	0.2091	0.0000		0
