cp	char	block	name	ink	clip	dup_of	recommended
U+00DF	ß	Latin-1	LATIN SMALL LETTER SHARP S	0.1975	0.0000		1
U+00E0	à	Latin-1	LATIN SMALL LETTER A WITH GRAVE	0.1711	0.0000		1
U+00E1	á	Latin-1	LATIN SMALL LETTER A WITH ACUTE	0.1711	0.0000		1
U+00E2	â	Latin-1	LATIN SMALL LETTER A WITH CIRCUMFLEX	0.1879	0.0000		1
U+00E3	ã	Latin-1	LATIN SMALL LETTER A WITH TILDE	0.1904	0.0000		1
U+00E4	ä	Latin-1	LATIN SMALL LETTER A WITH DIAERESIS	0.1764	0.0000		1
U+00E5	å	Latin-1	LATIN SMALL LETTER A WITH RING ABOVE	0.1876	0.0000		1
U+00E6	æ	Latin-1	LATIN SMALL LETTER AE	0.2005	0.0000		1
U+00E7	ç	Latin-1	LATIN SMALL LETTER C WITH CEDILLA	0.1515	0.0000		1
U+00E8	è	Latin-1	LATIN SMALL LETTER E WITH GRAVE	0.1706	0.0000		1
U+00E9	é	Latin-1	LATIN SMALL LETTER E WITH ACUTE	0.1705	0.0000		1
U+00EA	ê	Latin-1	LATIN SMALL LETTER E WITH CIRCUMFLEX	0.1872	0.0000		1
U+00EB	ë	Latin-1	LATIN SMALL LETTER E WITH DIAERESIS	0.1762	0.0000		1
U+00EC	ì	Latin-1	LATIN SMALL LETTER I WITH GRAVE	0.1255	0.0000		1
U+00ED	í	Latin-1	LATIN SMALL LETTER I WITH ACUTE	0.1255	0.0000		1
U+00EE	î	Latin-1	LATIN SMALL LETTER I WITH CIRCUMFLEX	0.1422	0.0000		1
U+00EF	ï	Latin-1	LATIN SMALL LETTER I WITH DIAERESIS	0.1311	0.0000		1
U+00F0	ð	Latin-1	LATIN SMALL LETTER ETH	0.1908	0.0000		1
U+00F1	ñ	Latin-1	LATIN SMALL LETTER N WITH TILDE	0.1765	0.0000		1
U+00F2	ò	Latin-1	LATIN SMALL LETTER O WITH GRAVE	0.1629	0.0000		1
U+00F3	ó	Latin-1	LATIN SMALL LETTER O WITH ACUTE	0.1629	0.0000		1
U+00F4	ô	Latin-1	LATIN SMALL LETTER O WITH CIRCUMFLEX	0.1797	0.0000		1
U+00F5	õ	Latin-1	LATIN SMALL LETTER O WITH TILDE	0.1823	0.0000		1
U+00F6	ö	Latin-1	LATIN SMALL LETTER O WITH DIAERESIS	0.1686	0.0000		1
U+00F7	÷	Latin-1	DIVISION SIGN	0.0763	0.0000		1
U+00F8	ø	Latin-1	LATIN SMALL LETTER O WITH STROKE	0.1756	0.0000		1
U+00F9	ù	Latin-1	LATIN SMALL LETTER U WITH GRAVE	0.1573	0.0000		1
U+00FA	ú	Latin-1	LATIN SMALL LETTER U WITH ACUTE	0.1572	0.0000		1
U+00FB	û	Latin-1	LATIN SMALL LETTER U WITH CIRCUMFLEX	0.1741	0.0000		1
U+00FC	ü	Latin-1	LATIN SMALL LETTER U WITH DIAERESIS	0.1630	0.0000		1
U+00FD	ý	Latin-1	LATIN SMALL LETTER Y WITH ACUTE	0.1583	0.0000		1
U+00FE	þ	Latin-1	LATIN SMALL LETTER THORN	0.2020	0.0000		1
U+00FF	ÿ	Latin-1	LATIN SMALL LETTER Y WITH DIAERESIS	0.1640	0.0000		1
U+0100	Ā	Latin Ext-A	LATIN CAPITAL LETTER A WITH MACRON	0.1983	0.0000		0
U+0101	ā	Latin Ext-A	LATIN SMALL LETTER A WITH MACRON	0.1793	0.0000		0
U+0102	Ă	Latin Ext-A	LATIN CAPITAL LETTER A WITH BREVE	0.2024	0.0000		0
U+0103	ă	Latin Ext-A	LATIN SMALL LETTER A WITH BREVE	0.1884	0.0000		0
U+0104	Ą	Latin Ext-A	LATIN CAPITAL LETTER A WITH OGONEK	0.1965	0.0000		0
U+0105	ą	Latin Ext-A	LATIN SMALL LETTER A WITH OGONEK	0.1764	0.0000		0
U+0106	Ć	Latin Ext-A	LATIN CAPITAL LETTER C WITH ACUTE	0.1897	0.0000		0
U+0107	ć	Latin Ext-A	LATIN SMALL LETTER C WITH ACUTE	0.1411	0.0000		0
U+0108	Ĉ	Latin Ext-A	LATIN CAPITAL LETTER C WITH CIRCUMFLEX	0.2022	0.0000		0
U+0109	ĉ	Latin Ext-A	LATIN SMALL LETTER C WITH CIRCUMFLEX	0.1578	0.0000		0
U+010A	Ċ	Latin Ext-A	LATIN CAPITAL LETTER C WITH DOT ABOVE	0.1866	0.0000		0
U+010B	ċ	Latin Ext-A	LATIN SMALL LETTER C WITH DOT ABOVE	0.1359	0.0000		0
U+010C	Č	Latin Ext-A	LATIN CAPITAL LETTER C WITH CARON	0.2022	0.0000		0
U+010D	č	Latin Ext-A	LATIN SMALL LETTER C WITH CARON	0.1578	0.0000		0
U+010E	Ď	Latin Ext-A	LATIN CAPITAL LETTER D WITH CARON	0.2382	0.0000		0
U+010F	ď	Latin Ext-A	LATIN SMALL LETTER D WITH CARON	0.1897	0.0000		0
U+0110	Đ	Latin Ext-A	LATIN CAPITAL LETTER D WITH STROKE	0.2208	0.0000		0
U+0111	đ	Latin Ext-A	LATIN SMALL LETTER D WITH STROKE	0.1980	0.0000		0
U+0112	Ē	Latin Ext-A	LATIN CAPITAL LETTER E WITH MACRON	0.2073	0.0000		0
U+0113	ē	Latin Ext-A	LATIN SMALL LETTER E WITH MACRON	0.1787	0.0000		0
U+0114	Ĕ	Latin Ext-A	LATIN CAPITAL LETTER E WITH BREVE	0.2113	0.0000		0
U+0115	ĕ	Latin Ext-A	LATIN SMALL LETTER E WITH BREVE	0.1876	0.0000		0
U+0116	Ė	Latin Ext-A	LATIN CAPITAL LETTER E WITH DOT ABOVE	0.1939	0.0000		0
U+0117	ė	Latin Ext-A	LATIN SMALL LETTER E WITH DOT ABOVE	0.1654	0.0000		0
U+0118	Ę	Latin Ext-A	LATIN CAPITAL LETTER E WITH OGONEK	0.2037	0.0000		0
U+0119	ę	Latin Ext-A	LATIN SMALL LETTER E WITH OGONEK	0.1753	0.0000		0
U+011A	Ě	Latin Ext-A	LATIN CAPITAL LETTER E WITH CARON	0.2094	0.0000		0
U+011B	ě	Latin Ext-A	LATIN SMALL LETTER E WITH CARON	0.1873	0.0000		0
U+011C	Ĝ	Latin Ext-A	LATIN CAPITAL LETTER G WITH CIRCUMFLEX	0.2328	0.0000		0
U+011D	ĝ	Latin Ext-A	LATIN SMALL LETTER G WITH CIRCUMFLEX	0.2467	0.0000		0
U+011E	Ğ	Latin Ext-A	LATIN CAPITAL LETTER G WITH BREVE	0.2347	0.0000		0
U+011F	ğ	Latin Ext-A	LATIN SMALL LETTER G WITH BREVE	0.2470	0.0000		0
U+0120	Ġ	Latin Ext-A	LATIN CAPITAL LETTER G WITH DOT ABOVE	0.2172	0.0000		0
U+0121	ġ	Latin Ext-A	LATIN SMALL LETTER G WITH DOT ABOVE	0.2248	0.0000		0
U+0122	Ģ	Latin Ext-A	LATIN CAPITAL LETTER G WITH CEDILLA	0.2206	0.0000		0
U+0123	ģ	Latin Ext-A	LATIN SMALL LETTER G WITH CEDILLA	0.2282	0.0000		0
U+0124	Ĥ	Latin Ext-A	LATIN CAPITAL LETTER H WITH CIRCUMFLEX	0.2191	0.0000		0
U+0125	ĥ	Latin Ext-A	LATIN SMALL LETTER H WITH CIRCUMFLEX	0.1942	0.0081		0
U+0126	Ħ	Latin Ext-A	LATIN CAPITAL LETTER H WITH STROKE	0.2235	0.0000		0
U+0127	ħ	Latin Ext-A	LATIN SMALL LETTER H WITH STROKE	0.1730	0.0000		0
U+0128	Ĩ	Latin Ext-A	LATIN CAPITAL LETTER I WITH TILDE	0.1707	0.0000		0
U+0129	ĩ	Latin Ext-A	LATIN SMALL LETTER I WITH TILDE	0.1451	0.0000		0
U+012A	Ī	Latin Ext-A	LATIN CAPITAL LETTER I WITH MACRON	0.1646	0.0000		0
U+012B	ī	Latin Ext-A	LATIN SMALL LETTER I WITH MACRON	0.1337	0.0000		0
U+012C	Ĭ	Latin Ext-A	LATIN CAPITAL LETTER I WITH BREVE	0.1687	0.0000		0
U+012D	ĭ	Latin Ext-A	LATIN SMALL LETTER I WITH BREVE	0.1428	0.0000		0
U+012E	Į	Latin Ext-A	LATIN CAPITAL LETTER I WITH OGONEK	0.1606	0.0000		0
U+012F	į	Latin Ext-A	LATIN SMALL LETTER I WITH OGONEK	0.1488	0.0000		0
U+0130	İ	Latin Ext-A	LATIN CAPITAL LETTER I WITH DOT ABOVE	0.1513	0.0000		0
U+0131	ı	Latin Ext-A	LATIN SMALL LETTER DOTLESS I	0.1050	0.0000		0
U+0132	Ĳ	Latin Ext-A	LATIN CAPITAL LIGATURE IJ	0.1985	0.0000		0
U+0133	ĳ	Latin Ext-A	LATIN SMALL LIGATURE IJ	0.1856	0.0000		0
U+0134	Ĵ	Latin Ext-A	LATIN CAPITAL LETTER J WITH CIRCUMFLEX	0.1690	0.0000		0
U+0135	ĵ	Latin Ext-A	LATIN SMALL LETTER J WITH CIRCUMFLEX	0.1522	0.0000		0
U+0136	Ķ	Latin Ext-A	LATIN CAPITAL LETTER K WITH CEDILLA	0.1983	0.0000		0
U+0137	ķ	Latin Ext-A	LATIN SMALL LETTER K WITH CEDILLA	0.1741	0.0000		0
U+0139	Ĺ	Latin Ext-A	LATIN CAPITAL LETTER L WITH ACUTE	0.1320	0.0000		0
U+013A	ĺ	Latin Ext-A	LATIN SMALL LETTER L WITH ACUTE	0.1436	0.0350		0
U+013B	Ļ	Latin Ext-A	LATIN CAPITAL LETTER L WITH CEDILLA	0.1321	0.0000		0
U+013C	ļ	Latin Ext-A	LATIN SMALL LETTER L WITH CEDILLA	0.1471	0.0000		0
U+013D	Ľ	Latin Ext-A	LATIN CAPITAL LETTER L WITH CARON	0.1342	0.0000		0
U+013E	ľ	Latin Ext-A	LATIN SMALL LETTER L WITH CARON	0.1483	0.0000		0
U+013F	Ŀ	Latin Ext-A	LATIN CAPITAL LETTER L WITH MIDDLE DOT	0.1347	0.0000		0
U+0140	ŀ	Latin Ext-A	LATIN SMALL LETTER L WITH MIDDLE DOT	0.1390	0.0707		0
U+0141	Ł	Latin Ext-A	LATIN CAPITAL LETTER L WITH STROKE	0.1468	0.0000		0
U+0142	ł	Latin Ext-A	LATIN SMALL LETTER L WITH STROKE	0.1619	0.0000		0
U+0143	Ń	Latin Ext-A	LATIN CAPITAL LETTER N WITH ACUTE	0.2235	0.0000		0
U+0144	ń	Latin Ext-A	LATIN SMALL LETTER N WITH ACUTE	0.1571	0.0000		0
U+0145	Ņ	Latin Ext-A	LATIN CAPITAL LETTER N WITH CEDILLA	0.2237	0.0000		0
U+0146	ņ	Latin Ext-A	LATIN SMALL LETTER N WITH CEDILLA	0.1554	0.0000		0
U+0147	Ň	Latin Ext-A	LATIN CAPITAL LETTER N WITH CARON	0.2360	0.0000		0
U+0148	ň	Latin Ext-A	LATIN SMALL LETTER N WITH CARON	0.1739	0.0000		0
U+014C	Ō	Latin Ext-A	LATIN CAPITAL LETTER O WITH MACRON	0.2308	0.0000		0
U+014D	ō	Latin Ext-A	LATIN SMALL LETTER O WITH MACRON	0.1711	0.0000		0
U+014E	Ŏ	Latin Ext-A	LATIN CAPITAL LETTER O WITH BREVE	0.2349	0.0000		0
U+014F	ŏ	Latin Ext-A	LATIN SMALL LETTER O WITH BREVE	0.1800	0.0000		0
U+0150	Ő	Latin Ext-A	LATIN CAPITAL LETTER O WITH DOUBLE ACUTE	0.2371	0.0000		0
U+0151	ő	Latin Ext-A	LATIN SMALL LETTER O WITH DOUBLE ACUTE	0.1808	0.0000		0
U+0152	Œ	Latin Ext-A	LATIN CAPITAL LIGATURE OE	0.2578	0.0000		0
U+0153	œ	Latin Ext-A	LATIN SMALL LIGATURE OE	0.2046	0.0000		0
U+0154	Ŕ	Latin Ext-A	LATIN CAPITAL LETTER R WITH ACUTE	0.2225	0.0000		0
U+0155	ŕ	Latin Ext-A	LATIN SMALL LETTER R WITH ACUTE	0.1430	0.0000		0
U+0156	Ŗ	Latin Ext-A	LATIN CAPITAL LETTER R WITH CEDILLA	0.2228	0.0000		0
U+0157	ŗ	Latin Ext-A	LATIN SMALL LETTER R WITH CEDILLA	0.1412	0.0000		0
U+0158	Ř	Latin Ext-A	LATIN CAPITAL LETTER R WITH CARON	0.2348	0.0000		0
U+0159	ř	Latin Ext-A	LATIN SMALL LETTER R WITH CARON	0.1598	0.0000		0
U+015A	Ś	Latin Ext-A	LATIN CAPITAL LETTER S WITH ACUTE	0.2013	0.0000		0
U+015B	ś	Latin Ext-A	LATIN SMALL LETTER S WITH ACUTE	0.1506	0.0000		0
U+015C	Ŝ	Latin Ext-A	LATIN CAPITAL LETTER S WITH CIRCUMFLEX	0.2136	0.0000		0
U+015D	ŝ	Latin Ext-A	LATIN SMALL LETTER S WITH CIRCUMFLEX	0.1674	0.0000		0
U+015E	Ş	Latin Ext-A	LATIN CAPITAL LETTER S WITH CEDILLA	0.2130	0.0000		0
U+015F	ş	Latin Ext-A	LATIN SMALL LETTER S WITH CEDILLA	0.1610	0.0000		0
U+0160	Š	Latin Ext-A	LATIN CAPITAL LETTER S WITH CARON	0.2136	0.0000		0
U+0161	š	Latin Ext-A	LATIN SMALL LETTER S WITH CARON	0.1674	0.0000		0
U+0162	Ţ	Latin Ext-A	LATIN CAPITAL LETTER T WITH CEDILLA	0.1545	0.0000		0
U+0163	ţ	Latin Ext-A	LATIN SMALL LETTER T WITH CEDILLA	0.1539	0.0000		0
U+0164	Ť	Latin Ext-A	LATIN CAPITAL LETTER T WITH CARON	0.1539	0.0000		0
U+0165	ť	Latin Ext-A	LATIN SMALL LETTER T WITH CARON	0.1413	0.0000		0
U+0166	Ŧ	Latin Ext-A	LATIN CAPITAL LETTER T WITH STROKE	0.1493	0.0000		0
U+0167	ŧ	Latin Ext-A	LATIN SMALL LETTER T WITH STROKE	0.1495	0.0000		0
U+0168	Ũ	Latin Ext-A	LATIN CAPITAL LETTER U WITH TILDE	0.2129	0.0000		0
U+0169	ũ	Latin Ext-A	LATIN SMALL LETTER U WITH TILDE	0.1767	0.0000		0
U+016A	Ū	Latin Ext-A	LATIN CAPITAL LETTER U WITH MACRON	0.2067	0.0000		0
U+016B	ū	Latin Ext-A	LATIN SMALL LETTER U WITH MACRON	0.1655	0.0000		0
U+016C	Ŭ	Latin Ext-A	LATIN CAPITAL LETTER U WITH BREVE	0.2110	0.0000		0
U+016D	ŭ	Latin Ext-A	LATIN SMALL LETTER U WITH BREVE	0.1743	0.0000		0
U+016E	Ů	Latin Ext-A	LATIN CAPITAL LETTER U WITH RING ABOVE	0.2045	0.0000		0
U+016F	ů	Latin Ext-A	LATIN SMALL LETTER U WITH RING ABOVE	0.1735	0.0000		0
U+0170	Ű	Latin Ext-A	LATIN CAPITAL LETTER U WITH DOUBLE ACUTE	0.2132	0.0000		0
U+0171	ű	Latin Ext-A	LATIN SMALL LETTER U WITH DOUBLE ACUTE	0.1752	0.0000		0
U+0172	Ų	Latin Ext-A	LATIN CAPITAL LETTER U WITH OGONEK	0.2035	0.0000		0
U+0173	ų	Latin Ext-A	LATIN SMALL LETTER U WITH OGONEK	0.1612	0.0000		0
